#######################
# general information #
#######################

# file:         woa_2016.tsv
# created:      2016-01-16
# last update:  2016-07-31
# author(s):    Marcel Schilling <marcel.schilling@mdc-berlin.de>
# license:      GNU Affero General Public License Version 3 (GNU AGPL v3)
# purpose:      input file for WOA 2016 scheduling


######################################
# change log (reverse chronological) #
######################################

# 2016-07-31: fixed typos in band names
#             updated Borknagar rating & live counts
#             added missing bands
#             removed columns for Marta
# 2016-02-02: adjusted lineup (2 cancellations & 2 replacement bands) incl.
#             ratings/live counts for Inbal & Marcel
# 2016-01-24: fixed umlaut characters
#             fixed date in changelog comment
# 2016-01-22: added ratings/live counts for Marcel, Inbal & Rick
# 2016-01-16: initial version (band & user names only)


#########
# table #
#########

band	rating.Marcel	rating.Inbal	rating.Rick	live_count.Marcel	live_count.Inbal	live_count.Rick	stage	start	end
1349	-	?	-	0	0	0	NA	NA	NA
9mm	+	--	++	0	0	0	NA	NA	NA
Alcest	+	++	+	0	0	0	NA	NA	NA
Arch Enemy	++	+++	+	3	2	0	NA	NA	NA
Asrock	NA	NA	NA	NA	NA	NA	NA	NA	NA
Auðn	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aura Noir	-	-	--	0	0	0	NA	NA	NA
Axel Rudi Pell	+	+	++	1	0	0	NA	NA	NA
Barb Wire Dolls	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bembers	---	---	---	0	0	0	NA	NA	NA
Benediction	-	---	-	0	0	0	NA	NA	NA
Berlin Allstarz Live Karaoke	NA	NA	NA	NA	NA	NA	NA	NA	NA
Beyond The Black	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blaas of Glory	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blechblosn	?	+	++	0	0	0	NA	NA	NA
Bliksem	+	?	?	0	0	0	NA	NA	NA
Blind Guardian	+++	+++	+++	2	1	0	NA	NA	NA
Blue Öyster Cult	++	+	+++	0	0	0	NA	NA	NA
Bodhaktan	++	+	++	0	0	0	NA	NA	NA
Bon Scott	+	?	+	0	0	0	NA	NA	NA
Borknagar	++	+++	+	1	2	0	NA	NA	NA
Budderside	NA	NA	NA	NA	NA	NA	NA	NA	NA
Buffalo Summer	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bullet For My Valentine	++	++	?	1	0	0	NA	NA	NA
Bury Tomorrow	+	?	?	0	0	0	NA	NA	NA
Caliban	+	++	-	0	0	0	NA	NA	NA
Callejon	?	-	+	0	0	0	NA	NA	NA
Calm Hatchery	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carrion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clutch	++	?	++	0	0	0	NA	NA	NA
Cripper	?	?	?	0	0	0	NA	NA	NA
Crows Crown	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dagoba	?	--	?	0	0	0	NA	NA	NA
Deez Nuts	-	---	++	0	0	0	NA	NA	NA
Der Weg einer Freiheit	-	++	--	0	0	0	NA	NA	NA
Devil Driver	+	?	?	1	0	0	NA	NA	NA
Devil's Fire Show	NA	NA	NA	NA	NA	NA	NA	NA	NA
Die Krupps	+	+	NA	0	0	NA	NA	NA	NA
Dio Disciples ft. a very special guest	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dorfrocker	--	?	+++	0	0	0	NA	NA	NA
Dragonforce	+	+	+	0	0	0	NA	NA	NA
Dritte Wahl	+	---	++	0	0	0	NA	NA	NA
Drone	+	--	++	0	0	0	NA	NA	NA
Dystopia	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eat The Turnbuckle	--	--	---	0	0	0	NA	NA	NA
Einherjer	+	?	-	0	0	0	NA	NA	NA
Ektomorf	+	-	-	0	0	0	NA	NA	NA
Elemental	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eluveitie	+++	+++	++	1	0	0	NA	NA	NA
Elvenking	+	?	?	0	0	0	NA	NA	NA
Entombed A.D.	-	-	--	0	0	0	NA	NA	NA
Equilibrium	++	+++	++	1	1	0	NA	NA	NA
Eric Fish and Friends	+++	+	+	10	0	0	NA	NA	NA
Eskimo Callboy	-	+++	+	0	2	0	NA	NA	NA
Fateful Finality	?	-	--	0	0	0	NA	NA	NA
Feuerschwanz	+++	++	++	5	2	0	NA	NA	NA
Foreigner	++	++	++	0	0	0	NA	NA	NA
Forgotten North	NA	NA	NA	NA	NA	NA	NA	NA	NA
Freiwächter	+	+	+	0	0	0	NA	NA	NA
Girlschool	+	+	+	0	0	0	NA	NA	NA
GloryHammer	++	+	++	0	0	0	NA	NA	NA
Hämatom	+	--	?	0	0	0	NA	NA	NA
Hansen & Friends	NA	NA	NA	NA	NA	NA	NA	NA	NA
Henry Rollins	?	?	?	0	0	0	NA	NA	NA
Honky	NA	NA	NA	NA	NA	NA	NA	NA	NA
Horror Dance Squad	NA	NA	NA	NA	NA	NA	NA	NA	NA
