#######################
# general information #
#######################

# file:      woa_2017.tsv
# created:   2017-08-07
# author(s): Marcel Schilling <marcel.schilling@mdc-berlin.de>
# license:   GNU Affero General Public License Version 3 (GNU AGPL v3)
# purpose:   input file for WOA 2017 scheduling


######################################
# change log (reverse chronological) #
######################################

# 2017-08-07: initial version (full table)


#########
# table #
#########

band	rating.Marcel	rating.Inbal	rating.John	live_count.Marcel	live_count.Inbal	live_count.John	stage	start	end
Aborted	-	-	-	0	0	0	Headbangers stage	03-08-2017_16:50	03-08-2017_19:45
Abinchova	+	+	-	0	0	0	WET stage	02-08-2017_12:40	02-08-2017_13:00
Accept	++	+	?	0	0	0	Faster stage	03-08-2017_20:00	03-08-2017_22:00
Aeverium	+	-	?	0	0	0	Metal church	02-08-2017_19:00	02-08-2017_20:00
Against	+	++	?	0	0	0	WET stage	02-08-2017_16:50	02-08-2017_17:10
Ahab	+	+	?	0	0	0	Headbangers stage	05-08-2017_12:40	05-08-2017_13:25
Alice Cooper	++	+++	+	1	2	0	Harder stage	05-08-2017_19:00	05-08-2017_20:15
Amon Amarth	++	+++	+++	4	0	0	Faster stage	05-08-2017_20:30	05-08-2017_21:45
Analepsy	--	--	?	0	0	0	WET stage	02-08-2017_16:00	02-08-2017_16:20
Animator	?	--	--	0	0	0	WET stage	02-08-2017_11:50	02-08-2017_12:10
Annihilator	+	+	?	0	0	0	Headbangers stage	02-08-2017_21:15	02-08-2017_22:15
Apocalyptica	+	++	+	2	2	0	Harder stage	04-08-2017_20:00	04-08-2017_21:15
Architects	+	--	+++	0	0	0	Louder stage	04-08-2017_21:30	04-08-2017_22:45
ASP	-	++	?	2	2	0	Harder stage	04-08-2017_02:00	04-08-2017_03:00
asrock	+	?	?	0	0	0	Beergarden stage	04-08-2017_16:45	04-08-2017_17:30
Asyllex	?	?	?	0	0	0	Headbangers stage	02-08-2017_11:25	02-08-2017_11:45
Aura Noir	-	+	-	0	0	0	Headbangers stage	05-08-2017_14:30	05-08-2017_15:15
Avantasia	+++	+++	++	2	2	0	Harder stage	05-08-2017_22:00	05-08-2017_00:00
