#######################
# general information #
#######################

# file:        woa_2018.tsv
# created:     2017-08-07
# last-update: 2018-07-30
# author(s):   Marcel Schilling <marcel.schilling@mdc-berlin.de>
# license:     GNU Affero General Public License Version 3 (GNU AGPL v3)
# purpose:     input file for WOA 2018 scheduling


######################################
# change log (reverse chronological) #
######################################

# 2018-07-30: replaced Manilla Road by Savage Messiah
#             corrected start time of John Diva & The Rockets Of Love
# 2018-07-27: added ratings & live counts / fixed typos / fixed time & date format
# 2018-07-25: added ratings & live counts from previous years
#             added full line-up and running order
# 2017-08-07: initial version (first round of bands with ratings & live counts for Inbal & Marcel)


#########
# table #
#########

band	rating.Marcel	rating.Inbal	live_count.Marcel	live_count.Inbal	stage	start	end
2Cellos	+	+	0	0	Louder	03-08-2018_18:05	03-08-2018_19:05
Acoustic Steel	?	-	0	0	Beer Garden	01-08-2018_13:15	01-08-2018_14:00
Act Of Defiance	+	-	0	0	Wasteland Stage	04-08-2018_20:15	04-08-2018_21:00
Aephanemer	+	+	0	0	W:E:T Stage	01-08-2018_14:20	01-08-2018_14:40
Alestorm	++	++	1	2	Faster	04-08-2018_14:30	04-08-2018_15:30
Alfahanne	?	+	0	0	Wasteland Stage	04-08-2018_00:30	04-08-2018_01:15
Alien Weaponry	+	?	0	0	Wasteland Stage	04-08-2018_22:00	04-08-2018_22:45
Amaranthe	++	--	4	0	Louder	03-08-2018_11:00	03-08-2018_12:05
Amorphis	+++	+++	3	5	Faster	03-08-2018_13:25	03-08-2018_14:25
An Theus	+	?	0	0	W:E:T Stage	01-08-2018_16:50	01-08-2018_17:10
Arch Enemy	+++	+++	6	4	Faster	04-08-2018_20:00	04-08-2018_21:15
Arkona	?	+	0	1	Wackiner Stage	03-08-2018_23:00	04-08-2018_00:00
Asrock	+	+	0	0	Beer Garden	03-08-2018_19:30	03-08-2018_20:15
Asylum	-	?	0	0	W:E:T Stage	01-08-2018_16:00	01-08-2018_16:20
Atomic Rocket Seeder	--	--	0	0	W:E:T Stage	02-08-2018_14:45	02-08-2018_15:05
Attic	?	+	0	0	Headbangers Stage	03-08-2018_13:10	03-08-2018_13:55
Awake Again	+	+	0	0	Headbangers Stage	02-08-2018_12:40	02-08-2018_13:00
AWS	?	-	0	0	W:E:T Stage	04-08-2018_01:20	04-08-2018_02:05
Backyard Babies	+	+	0	0	Headbangers Stage	01-08-2018_22:00	01-08-2018_22:45
Bannkreis	+	?	0	0	Wackinger Stage	01-08-2018_18:30	01-08-2018_19:15
Behemoth	-	+	0	1	Harder	02-08-2018_19:15	02-08-2018_19:15
Behind Bars	-	--	0	0	Headbangers Stage	02-08-2018_11:00	02-08-2018_11:20
Belphegor	--	++	0	0	W:E:T Stage	02-08-2018_20:20	02-08-2018_21:05
Betontod	++	?	0	0	Faster	04-08-2018_12:00	04-08-2018_13:00
Black Inhale	+	+	0	0	Headbangers Stage	04-08-2018_12:00	04-08-2018_12:30
Blechblosn	--	--	0	0	Beer Garden	01-08-2018_17:00	01-08-2018_17:45
Blechblosn	--	--	0	0	Beer Garden	02-08-2018_17:15	02-08-2018_18:15
Blechblosn	--	--	0	0	Beer Garden	03-08-2018_17:45	03-08-2018_18:45
Blechblosn	--	--	0	0	Beer Garden	04-08-2018_16:45	04-08-2018_17:45
Blessed Hellride	+	--	0	0	Wasteland Stage	02-08-2018_20:45	02-08-2018_21:30
Bloodsucking Zombies F. Outer Space	?	?	0	0	Wasteland Stage	05-08-2018_00:30	05-08-2018_01:15
